Plot,SPP,U,V,W,date,truecover,logw
60,CARYTOM,2,45.94488189,1427.945919,2001,2,7.26399227
60,FAGUGRA,1,2.460629921,4.755349953,2000,2,1.55927029
60,JUNIVIR,7,6.397637795,7.418345927,2000,2,2.003956111
60,JUNIVIR,3,4.429133858,5.135777949,2001,2,1.636231331
60,MORURUB,1,1.476377953,1.711925983,2000,2,0.537619043
60,QUERVEL,2,7.874015748,33.85809167,2001,2,3.522178016
60,ULMUAME,1,1.476377953,1.711925983,2001,2,0.537619043
60,VIBURAF,80,39.37007874,15.21711985,2000,2,2.7224211
608,CORNFLO,1,1.476377953,1.711925983,2001,2,0.537619043
608,PINUECH,3,10.33464567,46.22200154,2001,2,3.833455909
620,CARYOVT,2,11.81102362,58.20548343,2001,2,4.063979567
620,QUERRUB,3,8.366141732,20.3528978,2001,2,3.0132233
63,ACERBAR,1,3.44488189,9.320485908,2001,2,2.232214763
63,AESCSYL,1,1.476377953,1.711925983,2001,2,0.537619043
63,CERCCAN,5,2.460629921,0.951069991,2001,2,-0.050167622
63,JUNIVIR,1,1.476377953,1.711925983,2001,2,0.537619043
63,LIRITUL,1,1.476377953,1.711925983,2001,2,0.537619043
63,MORURUB,1,1.476377953,1.711925983,2001,2,0.537619043
63,PINUVIR,1,7.381889764,42.79814958,2001,2,3.756494868
63,QUERRUB,5,2.460629921,0.951069991,2001,2,-0.050167622
67,NYSSSYL,1,1.476377953,1.711925983,2001,2,0.537619043
67,PINUVIR,1,6.397637795,32.14616568,2001,2,3.47029318
67,QUERRUB,5,2.460629921,0.951069991,2001,2,-0.050167622
68,FRAX1S1,2,2.952755906,3.423851966,2001,2,1.230766223
68,JUNIVIR,10,4.921259843,1.902139981,2001,2,0.642979558
68,LIRITUL,6,3.937007874,2.662995974,2001,2,0.979451795
68,PRUNSER,1,1.476377953,1.711925983,2001,2,0.537619043
70,CORNFLO,1,1.476377953,1.711925983,2001,2,0.537619043
70,DIOSVIR,1,1.476377953,1.711925983,2001,2,0.537619043
70,FAGUGRA,5,2.460629921,0.951069991,2001,2,-0.050167622
70,ILEXDECD,2,2.952755906,3.423851966,2001,2,1.230766223
70,ILEXOPAO,1,1.476377953,1.711925983,2001,2,0.537619043
70,QUERPHE,1,1.476377953,1.711925983,2001,2,0.537619043
70,SMILROT,5,2.460629921,0.951069991,2001,2,-0.050167622
75,AMELARB,5,2.460629921,0.951069991,2001,2,-0.050167622
75,CHIOVIR,5,2.460629921,0.951069991,2001,2,-0.050167622
75,FAGUGRA,7,5.413385827,4.374921957,2001,2,1.475888681
75,PINUECH,1,48.5,1847.45283,2001,2,7.521563121
75,PINUTAE,1,37.5,1104.466167,2001,2,7.007117391
75,QUERVEL,8,6.88976378,6.08684794,2001,2,1.806130368
75,ULMUALA,2,2.952755906,3.423851966,2001,2,1.230766223
75,VIBURAF,5,2.460629921,0.951069991,2001,2,-0.050167622
77,CARYOVT,1,1.476377953,1.711925983,2000,2,0.537619043
78,CORNFLO,2,4.921259843,9.510699906,2000,2,2.252417471
78,JUNIVIR,1,1.476377953,1.711925983,2000,2,0.537619043
78,MORURUB,5,2.460629921,0.951069991,2000,2,-0.050167622
78,QUERRUB,10,4.921259843,1.902139981,2000,2,0.642979558
78,ULMURUB,5,2.460629921,0.951069991,2000,2,-0.050167622
8,DIOSVIR,1,1.476377953,1.711925983,2000,2,0.537619043
8,PRUNSER,5,2.460629921,0.951069991,2000,2,-0.050167622
9,FAGUGRA,1,2.460629921,4.755349953,2001,2,1.55927029
9,JUNIVIR,1,1.476377953,1.711925983,2001,2,0.537619043
9,LIRITUL,15,7.381889764,2.853209972,2001,2,1.048444666
9,PINUECH,1,45.5,1625.970548,2001,2,7.393860177
9,RUBUARG,5,2.460629921,0.951069991,2001,2,-0.050167622
925,JUNIVIR,6,3.937007874,2.662995974,2001,2,0.979451795
926,ILEXOPAO,5,2.460629921,0.951069991,2001,2,-0.050167622
926,QUERALB,5,2.460629921,0.951069991,2001,2,-0.050167622
926,QUERRUB,5,2.460629921,0.951069991,2001,2,-0.050167622
929,JUNIVIR,6,4.921259843,5.706419944,2001,2,1.741591847
929,ULMUAME,5,2.460629921,0.951069991,2001,2,-0.050167622
929,VACCCOR,5,2.460629921,0.951069991,2001,2,-0.050167622
93,CARYOVT,1,1.476377953,1.711925983,2001,2,0.537619043
93,CERCCAN,1,1.476377953,1.711925983,2001,2,0.537619043
93,ILEXDECD,2,2.952755906,3.423851966,2001,2,1.230766223
93,MORURUB,5,2.460629921,0.951069991,2001,2,-0.050167622
93,OSTRVIR,5,2.460629921,0.951069991,2001,2,-0.050167622
93,OXYDARB,1,1.476377953,1.711925983,2001,2,0.537619043
93,PRUNSER,1,1.476377953,1.711925983,2001,2,0.537619043
93,QUERALB,6,3.937007874,2.662995974,2001,2,0.979451795
93,QUERVEL,5,2.460629921,0.951069991,2001,2,-0.050167622
93,ULMUALA,2,9.842519685,56.68377144,2001,2,4.037487952
93,ULMURUB,1,2.460629921,4.755349953,2001,2,1.55927029
93,VACCCOR,10,4.921259843,1.902139981,2001,2,0.642979558
935,PINUVIR,1,2.460629921,4.755349953,2001,2,1.55927029
935,QUERRUB,1,1.476377953,1.711925983,2001,2,0.537619043
937,VIBUPRU,5,2.460629921,0.951069991,2001,2,-0.050167622
986,CELTOCC,1,3.44488189,9.320485908,1999,2,2.232214763
986,EUONAME,10,4.921259843,1.902139981,1999,2,0.642979558
986,MORURUB,33,19.19291339,10.84219789,1999,2,2.383445733
986,ULMURUB,13,9.350393701,7.037917931,1999,2,1.951312378
987,ACERBAR,1,1.476377953,1.711925983,1999,2,0.537619043
987,QUERRUB,1,1.476377953,1.711925983,1999,2,0.537619043
988,ACERBAR,5,11.31889764,29.86359771,1999,2,3.396640271
988,CARPCAR,1,1.476377953,1.711925983,1999,2,0.537619043
988,CELTOCC,2,2.952755906,3.423851966,1999,2,1.230766223
988,CHIOVIR,2,2.952755906,3.423851966,1999,2,1.230766223
988,NYSSSYL,2,8.858267717,44.51007556,1999,2,3.795715581
988,OSTRVIR,3,5.413385827,8.179201919,1999,2,2.101594581
1,CARYOVT,11,6.397637795,3.614065964,2000,3,1.284833444
1,CERCCAN,13,10.33464567,10.0813419,2000,3,2.310686379
1,LIRITUL,3,9.350393701,35.57001765,2000,3,3.571503082
1,MORURUB,8,7.874015748,9.13027191,2000,3,2.211595476
1,NYSSSYL,8,21.65354331,50.21649551,2000,3,3.916343568
1,QUERVEL,3,17.22440945,96.43849705,2000,3,4.568905469
1,SASSALB,5,10.33464567,17.68990183,2000,3,2.872993958
1,VIBURUF,27,20.17716535,15.78776184,2000,3,2.759235073
11,CARYTOM,3,36.90944882,361.2163824,2001,3,5.889477176
11,CORNFLO,28,23.62204724,23.58653577,2001,3,3.160676031
11,QUERALB,15,253.7480315,6769.476761,2001,3,8.820179075
12,DIOSVIR,6,3.937007874,2.662995974,2000,3,0.979451795
12,VIBUACE,10,4.921259843,1.902139981,2000,3,0.642979558
12,VIBURAF,185,91.04330709,35.18958965,2000,3,3.56075029
14,CERCCAN,16,16.73228346,21.30396779,2000,3,3.058893337
14,FRAX1S1,21,19.19291339,22.25503778,2000,3,3.1025684
14,LIRITUL,6,52.46062992,1964.446478,2000,3,7.582965794
14,MORURUB,3,9.350393701,35.57001765,2000,3,3.571503082
14,QUERRUB,1,3.44488189,9.320485908,2000,3,2.232214763
14,VIBURAF,361,178.6417323,70.18896531,2000,3,4.251191109
17,CHIOVIR,11,11.31889764,11.22262589,2001,3,2.417931909
17,CORNFLO,5,10.33464567,17.68990183,2001,3,2.872993958
17,MORURUB,1,1.476377953,1.711925983,2001,3,0.537619043
17,PRUNSER,3,4.429133858,5.135777949,2001,3,1.636231331
17,QUERSTE,1,7.381889764,42.79814958,2001,3,3.756494868
